TaxonID	TaxonRank	ScientificName	Author	SpeciesScientificName	SpeciesAuthor
	suku	Arrenurus	Walter, 1928	Arrenurus tubulator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1929	Arrenurus tricuspidator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1930	Arrenurus zachariae	Koenike, 1896
	suku	Arrenurus	Walter, 1931	Arrenurus wereschtschagini	Sokolow, 1926
	heimo	Krendowskiidae	Viets, 1929	 	
	suku	Krendowskia	Viets, 1929	 	
	suku	Krendowskia	Viets, 1930	Krendowskia latissima	Piersig, 1895
	heimo	Momoniidae	Viets, 1926	 	
	suku	Momonia	Halbert, 1906	 	
	suku	Momonia	Halbert, 1907	Momonia karelica	(Sokolow, 1926)
	yläheimo	Halacaroidea		 	 
	heimo	Halacaridae	Murray, 1877	 	
	alaheimo	Rhambognathinae	Viets, 1927	 	
	suku	Rhambognathides	Trouessart, 1888	 	
	suku	Rhambognathides	Trouessart, 1889	Rhambognathides seahami	(Hodge, 1860)
	alaheimo	Halacarinae	Murray, 1877	 	
	suku	Halacarus	Gosse, 1855	 	
	suku	Halacarus	Gosse, 1856	Halacarus basteri	Johnston, 1836
	alaheimo	Porohalacarinae	Viets, 1933	 	
	suku	Porohalacarus	Thor, 1922	 	
	suku	Porohalacarus	Thor, 1923	Porohalacarus alpinus	(Thor, 1910)
	suku	Porohalacarus	Thor, 1924	Porohalacarus hydrachnoides	(Lohmann, 1889)
	suku	Lobohalacarus	Viets, 1939	 	
	suku	Lobohalacarus	Viets, 1940	Lobohalacarus weberi	(Rominj & Viets, 1924)
	alaheimo	Limnohalacarinae	Viets, 1939	 	
	suku	Limnohalacarus	Walter, 1917	 	
	suku	Limnohalacarus	Walter, 1918	Limnohalacarus wackeri	(Walter, 1914)
	suku	Soldadellonyx	Walter, 1917	 	
	suku	Soldadellonyx	Walter, 1918	Soldadellonyx chappuisi	Walter, 1917
	suku	Soldadellonyx	Walter, 1919	Soldadellonyx monardi	Walter, 1919
	alaheimo	Porolohmannellinae	Viets, 1933	 	
	suku	Porolohmannella	Viets, 1933	 	
	suku	Porolohmannella	Viets, 1934	Porolohmannella violacea	(Kramer, 1879)
					
