#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
		heimo	Monognathidae	Trewavas, 1937	kita-ankeriaat		Onejaws
		heimo	Neocyematidae	Poulsen et al., 2018	napsija-ankeriaat		bobtail snipe eels
		heimo	Eurypharyngidae	Gill, 1883	pelikaaniankeriaat		Gulpers
		heimo	Saccopharyngidae	Bleeker, 1859	ahmattiankeriaat		Swallowers
26		lahko	Hiodontiformes		kuusilmäkalat		
		heimo	Hiodontidae	Valenciennes, 1847	kuusilmät		Mooneyes
27		lahko	Osteoglossiformes		arapaimakalat		Bonytongues
		heimo	Pantodontidae	Peters, 1876	perhoskalat		Freshwater butterflyfish
		heimo	Osteoglossidae	Bonaparte, 1845	arovanat	arapaimat	Arowanas
		heimo	Arapaimidae	Bonaparte, 1846	arapaimat		Bonytongues
		heimo	Notopteridae	Bleeker, 1851	teräkalat		Featherbacks	Knifefishes
		heimo	Mormyridae	Bonaparte, 1831	norsukalat		Elephantfishes
		heimo	Gymnarchidae	Bleeker, 1859	nauhanorsukalat		Abas
28	MX.53098	lahko	Clupeiformes		sillikalat		Herrings, Anchovies
		heimo	Denticipitidae	Clausen, 1959	hammassillit		Denticle herrings
		heimo	Spratelloididae	Jordan, 1925	pyöröhailit		Small round herrings
	MX.53099	heimo	Clupeidae	Cuvier, 1816	sillit		Herrings, Shads, Sardines etc
		heimo 	Dussumieriidae	Gill, 1861	pyörösillit		Round herrings
	MX.53107	heimo	Engraulidae	Gill, 1861	sardellit		Anchovies
		heimo	Chirocentridae	Bleeker, 1849	susisillit		Wolf herrings
		heimo	Pristigasteridae	Bleeker, 1872	tapparasillit		Longfin herrings
29		lahko	Alepocephaliformes		silopääkalat		
		heimo	Alepocephalidae	Bonaparte, 1846	silopäät	silokuoreet	Slickheads
		heimo	Platytroctidae	Koefoed, 1927	tuikkijat	valokuoreet	Tubeshoulders
30		lahko	Gonorynchiformes		maitokalat		Milkfish and mudheads
		heimo	Chanidae	Günther, 1868	maitokalat		Milkfish
		heimo	Gonorynchidae	Fowler, 1941	kuonokalat		Beaked salmons
		heimo	Kneriidae	Günther, 1868	korvakalat		Shellears
		heimo	Phractolaemidae	Boulenger, 1901	liejukalat		Hingemouths
31	MX.53143	lahko	Cypriniformes		karppikalat		
		alalahko	Gyrinocheiloidei		levänuoliaiskalat		
		heimo	Gyrinocheilidae	Gill, 1907	levänuoliaiset		Algae eaters
		alalahko 	Catostomoidei		imukarppikalat		
	MX.53170	heimo	Catostomidae	Agassiz, 1850	imukarpit		Suckers
		alalahko	Cobitoidei		nuoliaiskalat		
		heimo	Botiidae	Berg, 1940	loistonuoliaiset		pointface loaches
		heimo 	Vaillantellidae	Nalbant & Banarescu, 1977	nauhanuoliaiset		Longfin loaches
	MX.53173	heimo	Cobitidae	Swainson, 1838	piikkinuoliaiset		Spinde loaches
		heimo 	Barbuccidae	Kottelat, 2012	liukujanuoliaiset		Scooter loaches
		heimo	Gastromyzontidae	Fowler, 1905	lattaevät		Hillstream loaches
		heimo	Serpenticobitidae	Kottelat, 2012	kuononuoliaiset		Snake loaches
		heimo	Balitoridae	Swainson, 1839	imunuoliaiset		River loaches
		heimo 	Ellopostomatidae	Bohlen & Šlechtová, 2009	nuijanuoliaiset		Square-head loaches
	MX.206824	heimo	Nemacheilidae	Regan, 1911	kivennuoliaiset		Stone loaches
	MX.53144	alalahko	Cyprinoidei		särkikalat		
		heimo	Paedocyprinidae	Mayden & Chen, 2010	toukkabarbit		Tiny carps
		heimo	Psilorhynchidae	Hora, 1926	koskibarbit		Mountain carps
	MX.5016661	heimo	Cyprinidae	Rafinesque, 1815	karpit		Carps
		heimo	Sundadanionidae	Mayden & Chen, 2010	sundanrasborat		Tiny danios
		heimo	Danionidae	Bleeker, 1863	seeprakalat		Danionids
		heimo	Leptobarbidae	Bleeker, 1864	soukkabarbit		Cigar barbs
	MX.5016664	heimo	Xenocyprididae	Günther, 1868	aasiankarpit		East Asian minnows
	MX.5016659	heimo	Tincidae	Jordan, 1878	suutarit		Tenches
	MX.5077707	heimo	Acheilognathidae	Bleeker, 1863	katkerokalat		Bitterlings
	MX.5016663	heimo	Gobionidae	Bleeker, 1863	töröt		Freshwater gudgeons
		heimo	Tanichthyidae	Mayden &	kardinaalikalat		Mountain minnows
