#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
		heimo	Tathicarpidae	Hart et al., 2022	lepakkokrotit		Longfin frogfishes
		heimo	Tetrabrachiidae	Regan, 1912	kyrmykrotit		Four-armed frogfishes
		heimo	Lophichthyidae	Boeseman, 1964	nelijalkakrotit		Lophichthyid frogfishes
		alalahko	Chaunacoidei				
		heimo	Chaunacidae	Gill, 1863	konnakrotit		Sea toads
		alalahko	Ceratioidei				
		heimo	Caulophrynidae	Goode & Bean, 1896	rihmakrotit		Fanfins
		heimo	Neoceratiidae	Regan, 1926	piikkileukakrotit		Toothed seadevils
		heimo	Melanocetidae	Gill, 1878	lyhtykrotit		Black seadevils
		heimo	Himantolophidae	Gill, 1861	pallokrotit		Footballfishes
		heimo	Diceratiidae	Regan & Trewavas, 1932	sauvakrotit		Double anglers
		heimo	Oneirodidae	Gill, 1878	torkkujakrotit		Dreamers
		heimo	Thaumatichthyidae	Smith & Radcliffe, 1912	nokkakrotit		Wolftrap anglers
		heimo	Centrophrynidae	Bertelsen, 1951	piikkikrotit		Deep-sea anglerfish
		heimo	Ceratiidae	Gill, 1861	syvännekrotit		Seadevils
		heimo	Gigantactinidae	Boulenger, 1904	siimakrotit		Whipnose anglers
		heimo	Linophrynidae	Regan, 1925	pensaskrotit		Leftvents
75	MX.70290	lahko	Tetraodontiformes		jäykkäleukakalat		Triggerfishes and allies
		alalahko	Triacanthoidei				
		heimo	Triacanthodidae	Gill, 1862	vaarnakalat		Spikefishes
		heimo	Triacanthidae	Bleeker, 1859	naulakalat		Triplespines
	MX.5084350	alalahko	Tetraodontoidei				
		heimo	Triodontidae	Bleeker, 1859	kölipallokalat		Three-toothed puffer
		heimo	Molidae	Bonaparte, 1832	möhkäkalat		Molas	Ocean sunfishes
		heimo	Diodontidae	Billberg, 1833	siilikalat		Porcupinefishes	Burrfishes
	MX.5084351	heimo	Tetraodontidae	Bonaparte, 1831	pallokalat		Puffers
		alalahko	Balistoidei				
		heimo	Aracanidae	Hollard, 1860	syvännelosserokalat		deepwater boxfishes
		heimo	Ostraciidae	Rafinesque, 1810	losserokalat		Boxfishes
		heimo	Monacanthidae	Nardo, 1843	viilakalat		Filefishes
		heimo	Balistidae	Rafinesque, 1810	säppikalat		Triggerfishes
	MX.5084692	luokka	COELACANTHI		varsieväkalat		
76	MX.212895	lahko	Coelacanthiformes		varsieväkalat		Coelacanths
		heimo	Latimeriidae	Berg, 1940	latimeriat		Gombessa
	MX.212896	luokka	DIPNEUSTI		keuhkokalat		Lungfish
77	MX.5084691	lahko	Ceratodontiformes		keuhkokalat		
		heimo	Neoceratodontidae	Schultz, 1948	australiankeuhkokalat		Australian lungfish
		heimo	Lepidosirenidae	Bonaparte, 1841	amerikankeuhkokalat		Aestivating lungfishes
		heimo	Protopteridae	Peters, 1855	afrikankeuhkokalat		African lungfishes
