TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.5087653			Apristurus melanoasper 	Iglésias, Nakaya & Stehmann, 2004	tumma-aavehai			
MX.5087655			Apristurus microps 	(Gilchrist, 1922)	tihruaavehai			
MX.5087656		suku	Galeus	Rafinesque, 1810				
MX.5087657			Galeus atlanticus 	(Vaillant, 1888)	atlantinkissahai			
			Galeus eastmani 	(Jordan & Snyder, 1904)	gekkohai			
MX.5087659			Galeus melastomus 	Rafinesque, 1810	rengaskissahai			
MX.5087661			Galeus murinus 	(Collett, 1904)	islanninkissahai 	pohjankissahai		
		suku	Halaelurus	Gill, 1862				
			Halaelurus boesemani 	Springer & D'Aubrey, 1972	kirjokissahai			
			Halaelurus quagga 	(Alcock, 1899)	seeprakissahai			
		suku	Holohalaelurus	Fowler, 1934				
			Holohalaelurus regani 	(Gilchrist, 1922	mosaiikkihai			
		suku	Parmaturus	Garman, 1906				
			Parmaturus pilosus 	Garman, 1906	salamanterihai			
			Parmaturus xaniurus 	(Gilbert, 1892	tummavelttohai			
MX.5086313		heimo	Pseudotriakidae		okahammashait			
		suku	Gollum	Compagno, 1973				
			Gollum attenuatus 	(Garrick, 1954) 	lattapäähai			
			Gollum suluensis 	Last & Gaudiano, 2011	ruskolattapäähai			
		suku	Planonasus	Weigmann, Stehmann & Thiel, 2013				
			Planonasus parini 	(Weigmann, Stehmann & Thiel, 2013) 	sokotrankuonohai			
			Planonasus indicus 	(Ebert, Akhilesh & Weigmann, 2018)	intiankuonohai			
MX.5087666		suku	Pseudotriakis	de Brito Capello, 1868				
MX.5087667			Pseudotriakis microdon	Brito Capelo, 1868	okahammashai			
MX.5086314		heimo	Proscylliidae		nauhahait			
		suku	Ctenacis	Compagno, 1973				
			Ctenacis fehlmanni	(Springer, 1968)	harlekiininauhahai			
		suku	Eridacnis	Smith, 1913				
			Eridacnis barbouri 	(Bigelow & Schroeder, 1944) 	kuubannauhahai			
			Eridacnis radcliffei 	Smith, 1913 	kääpiönauhahai			
			Eridacnis sinuans 	(Smith 1957)	afrikannauhahai			
		suku	Proscyllium	Hilgendorf, 1904				
			Proscyllium habereri 	Hilgendorf, 1904 	nauhahai			
MX.5086315		heimo	Leptochariidae		hiirihait			
MX.5087668		suku	Leptocharias	Smith, 1838				
MX.5087669			Leptocharias smithii	(Müller & Henle, 1839)	hiirihai			
MX.5086316		heimo	Triakidae		koirahait			
		suku	Furgaleus	Whitley, 1951				
			Furgaleus macki	(Whitley, 1943)	viiksikoirahai			
MX.5087670		suku	Galeorhinus	de Blainville, 1816				
MX.5087671			Galeorhinus galeus	(Linnaeus, 1758)	harmaakoirahai			
		suku	Hemitriakis	Herre, 1923				
			Hemitriakis japanica 	(Müller & Henle, 1839) 	japaninkoirahai			
		suku	Iago	Compagno & Springer, 1971				
			Iago omanensis 	Norman, 1939	omaninkoirahai			
MX.5087672		suku	Mustelus	Linck, 1790				
			Mustelus antarcticus 	Günther, 1870 	purukoirahai			
MX.5087673			Mustelus asterias 	Cloquet, 1821 	tähtikoirahai			
			Mustelus californicus 	Gill, 1864 	kaliforniankoirahai			
			Mustelus canis 	Mitchill, 1815 	koirahai			
			Mustelus fasciatus 	Garman, 1913 	raitakoirahai			
			Mustelus henlei 	Gill, 1863 	ruskokoirahai			
			Mustelus mosis 	Hemprich & Ehrenberg, 1899 	pilkkukoirahai			
MX.5087675			Mustelus mustelus 	Linnaeus, 1758 	silokoirahai			
MX.5087677			Mustelus punctulatus 	Risso, 1827 	pilkkukoirahai			
			Mustelus schmitti 	Springer, 1939 	kuonokoirahai			
		suku	Scylliogaleus	Boulenger, 1902				
			Scylliogaleus quecketti	Boulenger, 1902	huulikoirahai			
		suku	Triakis	Müller & Henle, 1838				
			Triakis scyllium 	Müller & Henle, 1839 	pronssileopardihai			
			Triakis semifasciata 	Girard, 1855	leopardihai			
MX.5086317		heimo	Hemigaleidae		kärppähait			
		suku	Hemigaleus	Bleeker, 1852				
			Hemigaleus microstoma 	Bleeker, 1852	kärppähai			
MX.5087678		suku	Paragaleus	Budker, 1935				
MX.5087679			Paragaleus pectoralis 	(Garman, 1906) 	atlantinkärppähai			
MX.5086318		heimo	Carcharhinidae		härkähait 	tiikerihait		
MX.5087680		suku	Carcharhinus	Blainville, 1816				
			Carcharhinus acronotus 	(Poey, 1860)	mustakuonohai			
			Carcharhinus albimarginatus 	(Rüppell, 1837)	hopeaevähai			
MX.5087681			Carcharhinus altimus 	(Springer, 1950)	isokuonohai			
			Carcharhinus amblyrhynchos 	(Bleeker, 1856)	harmaariuttahai			
MX.5087683			Carcharhinus amboinensis 	(Müller & Henle, 1839)	savuhai			
MX.5087685			Carcharhinus brachyurus 	(Günther, 1870)	kuparihai			
MX.5087687			Carcharhinus brevipinna 	(Müller & Henle, 1839)	pyörijähai			
MX.5087689			Carcharhinus falciformis 	(Müller & Henle, 1839)	haukkahai			
			Carcharhinus fitzroyensis 	(Whitley, 1943)	valaanpyytäjähai			
MX.5087691			Carcharhinus galapagensis 	(Snodgrass & Heller, 1905)	sysihai			
			Carcharhinus hemiodon 	(Müller & Henle, 1839)	kuonohai			
MX.5087693			Carcharhinus isodon 	(Müller & Henle, 1839)	tasahammashai			
MX.5087695			Carcharhinus leucas 	(Müller & Henle, 1839)	härkähai			
MX.5087697			Carcharhinus limbatus 	(Müller & Henle, 1839)	mustapilkkahai			
MX.5087699			Carcharhinus longimanus 	(Poey, 1861)	valkopilkkahai			
MX.5087701			Carcharhinus melanopterus 	(Quoy & Gaimard, 1824)	mustaevähai			
MX.5087703			Carcharhinus obscurus 	(Lesueur, 1818)	sumuhai			
			Carcharhinus perezii 	(Poey, 1876)	riuttahai			
MX.5087705			Carcharhinus plumbeus 	(Nardo, 1827)	ruskohai			
MX.5087707			Carcharhinus signatus 	(Poey, 1868)	yöhai			
			Carcharhinus sorrah 	(Müller & Henle, 1839)	pilkkapyrstöhai			
		suku	Glyphis	Agassiz 1843				
			Glyphis gangeticus 	(Müller & Henle, 1839) 	gangesinjokihai	gangesinhai		
			Glyphis garricki 	Compagno, White & Last 2008 	papuanjokihai			
			Glyphis glyphis 	(Müller & Henle, 1839) 	peitsijokihai	keihäshai		
			Glyphis siamensis 	(Steindachner 1896) 	burmanjokihai			
		suku	Isogomphodon	Gill, 1862				
			Isogomphodon oxyrhynchus	(Müller & Henle 1839)	kiilakuonohai			
MX.5087710		suku	Negaprion	Whitley, 1940				
MX.5087711			Negaprion brevirostris 	(Poey, 1868)	sitruunahai			
MX.5087712		suku	Prionace	Cantor, 1849				
MX.5087713			Prionace glauca	(Linnaeus, 1758)	sinihai			
MX.5087714		suku	Rhizoprionodon	Whitley, 1929				
MX.5087715			Rhizoprionodon acutus 	(Rüppell, 1837) 	maitohai			
			Rhizoprionodon longurio 	(Jordan & Gilbert, 1882) 	ruskonokkahai			
			Rhizoprionodon porosus 	(Poey, 1861) 	nokkahai			
			Rhizoprionodon terraenovae 	(Richardson, 1836)	atlantinnokkahai			
		suku	Scoliodon	Müller & Henle, 1837				
			Scoliodon laticaudus	Müller & Henle, 1838	lapahai			
		suku	Triaenodon	Müller & Henle, 1837				
			Triaenodon obesus	(Rüppell, 1837)	valkoevähai			
MX.5086319		heimo	Galeocerdonidae		tiikerihait			
MX.5087708		suku	Galeocerdo	Müller & Henle, 1837				
MX.5087709			Galeocerdo cuvier	Péron & Lesueur, 1822	tiikerihai			
MX.5086320		heimo	Sphyrnidae		vasarahait			
		suku	Eusphyra	Gill, 1862				
			Eusphyra blochii	(Cuvier, 1816)	siipipäähai			
MX.5087716		suku	Sphyrna	Rafinesque, 1810				
			Sphyrna corona 	(Springer, 1940) 	kaarivasarahai			
