TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
		Apistogramma macmasteri	Kullander, 1979	rubiinikääpiöahven		MVL.1285	
		Apistogramma megaptera 	Mesa S. & Lasso, 2011	lippukääpiöahven		MVL.1285	
		Apistogramma meinkeni	Kullander, 1980	raitapyrstökääpiöahven		MVL.1285	
		Apistogramma mendezi	Römer, 1994	nelijuovakääpiöahven		MVL.1285	
		Apistogramma moae	Kullander, 1980	keltakuvekääpiöahven		MVL.1285	
		Apistogramma nijsseni	Kullander, 1979	pandakääpiöahven		MVL.1285	
		Apistogramma norberti	Staeck, 1991	huulikääpiöahven		MVL.1285	
		Apistogramma ortegai 	Britzke, Oliveira & Kullander, 2014	kaijakääpiöahven		MVL.1285	
		Apistogramma ortmanni	(Eigenmann, 1912)	savukääpiöahven		MVL.1285	
		Apistogramma panduro	Römer, 1997	palettikääpiöahven		MVL.1285	
		Apistogramma paucisquamis	Kullander & Staeck, 1988	linjakääpiöahven		MVL.1285	
		Apistogramma payaminonis	Kullander, 1986	neonkääpiöahven		MVL.1285	
		Apistogramma personata	Kullander, 1980	naamiokääpiöahven		MVL.1285	
		Apistogramma pertensis	(Haseman, 1911)	verkkokääpiöahven		MVL.1285	
		Apistogramma piauiensis	Kullander, 1980	kirjokääpiöahven		MVL.1285	
		Apistogramma psammophila	Staeck & Schindler, 2019	hietakääpiöahven		MVL.1285	
		Apistogramma pulchra	Kullander, 1980	kennokääpiöahven		MVL.1285	
		Apistogramma regani	Kullander, 1980	seeprakääpiöahven		MVL.1285	
		Apistogramma resticulosa	Kullander, 1980	viirukääpiöahven		MVL.1285	
		Apistogramma rositae 	Römer, Römer & Hahn, 2006	kalterikääpiöahven		MVL.1285	
		Apistogramma rubrolineata	Hein, Zarske & Zapata, 2002	karmiinikääpiöahven		MVL.1285	
		Apistogramma rupununi	Fowler, 1914	teräskääpiöahven		MVL.1285	
		Apistogramma staecki	Koslowski, 1985	oranssikääpiöahven		MVL.1285	
		Apistogramma steindachneri	(Regan, 1908)	kultaselkäkääpiöahven		MVL.1285	
		Apistogramma taeniata	(Günther, 1862)	hohtokääpiöahven		MVL.1285	
		Apistogramma trifasciata	(Eigenmann & Kennedy, 1903)	juovakääpiöahven		MVL.1285	
		Apistogramma uaupesi	Kullander, 1980	lyyrakääpiöahven		MVL.1285	
		Apistogramma urteagai	Kullander, 1986	laikkukääpiöahven		MVL.1285	
		Apistogramma velifera 	Staeck, 2003	purjekääpiöahven		MVL.1285	
		Apistogramma viejita	Kullander, 1979	punakääpiöahven		MVL.1285	
		Apistogrammoides pucallpaensis	Meinken, 1965	kiilakääpiöahven		MVL.1285	
	suku	Biotodoma	Eigenmann & Kennedy, 1903				
