TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
		Aulonocara rostratum 	Trewavas, 1935	kuonokeisariahven		MVL.1285, MVL.1287	
		Aulonocara saulosi 	Meyer, Riehl, & Zetzsche, 1987	viherkeisariahven		MVL.1285, MVL.1287	
		Aulonocara steveni 	Meyer, Riehl, & Zetzsche, 1987	neonkeisariahven		MVL.1285, MVL.1287	
		Aulonocara stuartgranti 	Meyer & Riehl, 1985	keltaeväkeisariahven		MVL.1285, MVL.1287	
		Aulonocara trematocephalum 	(Boulenger, 1901)	sokkelokeisariahven		MVL.1285, MVL.1287	
	suku	Buccochromis	Eccles & Trewavas, 1989				
		Buccochromis atritaeniatus 	(Regan, 1922) 	tummaverkkoahven		MVL.1285, MVL.1287	
		Buccochromis heterotaenia	(Trewavas, 1935) 	viivaverkkoahven		MVL.1285, MVL.1287	
		Buccochromis lepturus 	(Regan, 1922) 	viherverkkoahven		MVL.1285, MVL.1287	
		Buccochromis nototaenia 	(Boulenger, 1902) 	turkoosiverkkoahven		MVL.1285, MVL.1287	
		Buccochromis oculatus 	(Trewavas, 1935)	rengasverkkoahven		MVL.1285, MVL.1287	
		Buccochromis rhoadesii 	(Boulenger, 1908) 	keltaverkkoahven		MVL.1285, MVL.1287	
		Buccochromis spectabilis 	(Trewavas, 1935)	siniverkkoahven		MVL.1285, MVL.1287	
	suku	Caprichromis	Eccles & Trewavas, 1989				
		Caprichromis liemi 	(McKaye & Mackenzie, 1982) 	leukamalawinahven		MVL.1285, MVL.1287	
		Caprichromis orthognathus 	(Trewavas, 1935)	suoraleukamalawinahven		MVL.1285, MVL.1287	
	suku	Champsochromis	Boulenger, 1915				
		Champsochromis caeruleus 	(Boulenger, 1908) 	sinirautuahven		MVL.1285, MVL.1287	
		Champsochromis spilorhynchus	(Regan, 1922) 	luomirautuahven		MVL.1285, MVL.1287	
	suku	Cheilochromis	Eccles & Trewavas, 1989				
		Cheilochromis euchilus 	(Trewavas, 1935) 	pususuuhautoja		MVL.1285, MVL.1287	
		Chilotilapia rhoadesii	Boulenger, 1908 	kotilosuuhautoja		MVL.1285, MVL.1287	
	suku	Chindongo	Li, Konings & Stauffer, 2016				
		Chindongo bellicosus 	Li, Konings, & Stauffer, 2016 	räyhämalawinahven		MVL.1285, MVL.1287	
		Chindongo demasoni 	(Konings, 1994)	kuusiraitamalawinahven		MVL.1285, MVL.1287	
		Chindongo elongatus 	(Fryer, 1956)	torpedomalawinahven		MVL.1285, MVL.1287	
		Chindongo flavus 	(Stauffer, 1988) 	keltaraitamalawinahven		MVL.1285, MVL.1287	
		Chindongo minutus 	(Fryer, 1956)	pikkumalawinahven		MVL.1285, MVL.1287	
		Chindongo saulosi 	(Konings, 1990)	sinikeltamalawinahven		MVL.1285, MVL.1287	
		Chindongo socolofi 	(Johnson, 1974)	sinihohtomalawinahven		MVL.1285, MVL.1287	
	suku	Copadichromis	Eccles & Trewavas, 1989				
		Copadichromis azureus 	Konings, 1990 	siniutaka		MVL.1285, MVL.1287	
		Copadichromis borleyi 	(Iles, 1960)	valkosaumautaka		MVL.1285, MVL.1287	
		Copadichromis chrysonotus 	(Boulenger, 1908)	kultaselkäutaka		MVL.1285, MVL.1287	
		Copadichromis cyaneus 	(Trewavas, 1935)	kobolttiutaka		MVL.1285, MVL.1287	
		Copadichromis geertsi 	Konings, 1999 	laukkiutaka		MVL.1285, MVL.1287	
		Copadichromis ilesi 	Konings, 1999	valkoharjautaka		MVL.1285, MVL.1287	
		Copadichromis insularis 	Stauffer & Konings, 2006 	saariutaka		MVL.1285, MVL.1287	
		Copadichromis jacksoni 	(Iles, 1960)	siniotsautaka		MVL.1285, MVL.1287	
		Copadichromis likomae 	(Iles, 1960)	kaksitäpläutaka		MVL.1285, MVL.1287	
		Copadichromis mbenjii 	Konings, 1990 	keltakylkiutaka		MVL.1285, MVL.1287	
		Copadichromis melas 	Stauffer & Konings, 2006	tummautaka		MVL.1285, MVL.1287	
		Copadichromis mloto	(Iles, 1960)	tähtiutaka		MVL.1285, MVL.1287	
		Copadichromis nkatae 	(Iles, 1960)	valkoselkäutaka		MVL.1285, MVL.1287	
		Copadichromis parvus 	Stauffer & Konings, 2006	pikku-utaka		MVL.1285, MVL.1287	
		Copadichromis pleurostigma 	(Trewavas, 1935)	täpläutaka		MVL.1285, MVL.1287	
		Copadichromis pleurostigmoides 	(Iles, 1960)	kolmipisteutaka		MVL.1285, MVL.1287	
		Copadichromis quadrimaculatus 	(Regan, 1922)	nelitäpläutaka		MVL.1285, MVL.1287	
		Copadichromis trewavasae 	Konings, 1999 	tummavatsautaka		MVL.1285, MVL.1287	
		Copadichromis trimaculatus 	(Iles, 1960)	kolmitäpläutaka		MVL.1285, MVL.1287	
		Copadichromis verduyni 	Konings, 1990 	siniselkäutaka		MVL.1285, MVL.1287	
		Copadichromis virginalis 	(Iles, 1960)	punaharjautaka		MVL.1285, MVL.1287	
	suku	Corematodus	Boulenger, 1897				
		Corematodus shiranus 	Boulenger, 1897 	harmaasuomunsyöjä		MVL.1285, MVL.1287	
		Corematodus taeniatus 	Trewavas, 1935	vihersuomunsyöjä		MVL.1285, MVL.1287	
	suku	Ctenopharynx	Eccles & Trewavas, 1989				
		Ctenopharynx nitidus 	(Trewavas, 1935) 	ruskovaljuahven		MVL.1285, MVL.1287	
		Ctenopharynx pictus 	(Trewavas, 1935)	sinivaljuahven		MVL.1285, MVL.1287	
	suku	Cyathochromis	Trewavas, 1935				
		Cyathochromis obliquidens 	Trewavas, 1935	lusikkamalawinahven		MVL.1285, MVL.1287	
	suku	Cynotilapia	Regan, 1922				
		Cynotilapia afra	(Günther, 1894) 	sinikoiratilapia		MVL.1285, MVL.1287	
		Cynotilapia aurifrons 	(Tawil, 2011) 	kultakoiratilapia		MVL.1285, MVL.1287	
		Cynotilapia axelrodi 	Burgess, 1976	koiratilapia		MVL.1285, MVL.1287	
		Cynotilapia zebroides 	(Johnson, 1975)	seeprakoiratilapia		MVL.1285, MVL.1287	
	suku	Cyrtocara	Boulenger, 1902				
		Cyrtocara moorii 	Boulenger, 1902	kyhmysuuhautoja		MVL.1285, MVL.1287	
	suku	Dimidiochromis	Eccles & Trewavas, 1989				
		Dimidiochromis compressiceps 	(Boulenger, 1908) 	veitsihautoja		MVL.1285, MVL.1287	
		Dimidiochromis dimidiatus 	(Günther, 1864) 	hopeaveitsihautoja		MVL.1285, MVL.1287	
		Dimidiochromis kiwinge 	(Ahl, 1926) 	siniveitsihautoja		MVL.1285, MVL.1287	
		Dimidiochromis strigatus 	(Regan, 1922)	viherveitsihautoja		MVL.1285, MVL.1287	
	suku	Diplotaxodon	Trewavas, 1935				
		Diplotaxodon aeneus 	Turner & Stauffer, 1998 	ulappahautoja		MVL.1285, MVL.1287	
		Docimodus evelynae 	Eccles & Lewis, 1976	juovaputsarihautoja		MVL.1285, MVL.1287	
		Docimodus johnstoni 	Boulenger, 1897	putsarihautoja		MVL.1285, MVL.1287	
	suku	Exochochromis	Eccles & Trewavas, 1989				
		Exochochromis anagenys 	Oliver, 1989	ohjusmalawinahven		MVL.1285, MVL.1287	
	suku	Fossorochromis	Eccles & Trewavas, 1989				
		Fossorochromis rostratus 	(Boulenger, 1899) 	metallimalawinahven		MVL.1285, MVL.1287	
		Genyochromis mento	Trewavas, 1935	evänsyöjäahven		MVL.1285, MVL.1287	
		Gephyrochromis lawsi 	Fryer, 1957 	keltaselkämalawinahven		MVL.1285, MVL.1287	
		Gephyrochromis moorii 	Boulenger, 1901	kultaselkämalawinahven		MVL.1285, MVL.1287	
	suku	Hemitaeniochromis	Eccles & Trewavas, 1989				
		Hemitaeniochromis urotaenia	(Regan, 1922)	kirjopetoutaka		MVL.1285, MVL.1287	
	suku	Hemitilapia	Boulenger, 1902				
		Hemitilapia oxyrhyncha 	Boulenger, 1902	vihermalawinhautoja		MVL.1285, MVL.1287	
	suku	Iodotropheus	Oliver & Loiselle, 1972				
		Iodotropheus sprengerae 	Oliver & Loiselle, 1972	ruostemalawinahven		MVL.1285, MVL.1287	
		Iodotropheus stuartgranti 	Konings, 1990	helmimalawinahven		MVL.1285, MVL.1287	
	suku	Labeotropheus	Ahl, 1926				
		Labeotropheus artatorostris 	Pauers, 2017	kobolttinenäahven		MVL.1285, MVL.1287	
		Labeotropheus chlorosiglos 	Pauers, 2016	keltakylkinenäahven		MVL.1285, MVL.1287	
		Labeotropheus fuelleborni 	Ahl, 1926	sininenäahven		MVL.1285, MVL.1287	
		Labeotropheus simoneae 	Pauers, 2016	rusonenähven		MVL.1285, MVL.1287	
		Labeotropheus trewavasae 	Fryer, 1956	kirjonenäahven		MVL.1285, MVL.1287	
	suku	Labidochromis	Trewavas, 1935				
		Labidochromis caeruleus 	Fryer, 1956 	sinihuuliahven		MVL.1285, MVL.1287	
		Labidochromis chisumulae 	Lewis, 1982 	valkohuuliahven		MVL.1285, MVL.1287	
		Labidochromis flavigulis 	Lewis, 1982 	helmihuuliahven		MVL.1285, MVL.1287	
		Labidochromis freibergi 	Johnson, 1974 	keijuhuuliahven		MVL.1285, MVL.1287	
		Labidochromis gigas 	Lewis, 1982 	isohuuliahven		MVL.1285, MVL.1287	
		Labidochromis heterodon 	Lewis, 1982 	oliivihuuliahven		MVL.1285, MVL.1287	
		Labidochromis ianthinus 	Lewis, 1982	malvahuuliahven		MVL.1285, MVL.1287	
		Labidochromis (M.) joanjohnsonae 	Johnson, 1974	sinimalawinahven		MVL.1285, MVL.1287	
		Labidochromis lividus 	Lewis, 1982 	luolahuuliahven		MVL.1285, MVL.1287	
		Labidochromis maculicauda 	Lewis, 1982	kirjopyrstöhuuliahven		MVL.1285, MVL.1287	
		Labidochromis mbenjii 	Lewis, 1982	ruutuhuuliahven		MVL.1285, MVL.1287	
		Labidochromis mylodon 	Lewis, 1982	aavehuuliahven		MVL.1285, MVL.1287	
		Labidochromis pallidus 	Lewis, 1982	kalpeahuuliahven		MVL.1285, MVL.1287	
		Labidochromis shiranus 	Lewis, 1982	etelänhuuliahven		MVL.1285, MVL.1287	
		Labidochromis strigatus 	Lewis, 1982	violettihuuliahven		MVL.1285, MVL.1287	
		Labidochromis textilis 	Oliver, 1975	verkkohuuliahven		MVL.1285, MVL.1287	
		Labidochromis vellicans 	Trewavas, 1935 	ruskohuuliahven		MVL.1285, MVL.1287	
		Labidochromis zebroides 	Lewis, 1982	raitahuuliahven		MVL.1285, MVL.1287	
	suku	Lethrinops	Regan, 1922				
		Lethrinops albus 	Regan, 1922	valkomalawintonkija		MVL.1285, MVL.1287	
		Lethrinops argenteus 	Ahl, 1926	hopeamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops auritus 	(Regan, 1922)	kultamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops christyi 	Trewavas, 1931	jalomalawintonkija		MVL.1285, MVL.1287	
		Lethrinops furcifer 	Trewavas, 1931	vihermalawintonkija		MVL.1285, MVL.1287	
		Lethrinops leptodon	Regan, 1922	hoikkamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops lethrinus 	(Günther, 1894) 	malawintonkija		MVL.1285, MVL.1287	
		Lethrinops longimanus 	Trewavas, 1931	airomalawintonkija		MVL.1285, MVL.1287	
		Lethrinops longipinnis 	Eccles & Lewis, 1978	sulkamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops lunaris 	Trewavas, 1931	kuumalawintonkija		MVL.1285, MVL.1287	
		Lethrinops macracanthus 	Trewavas, 1931	piikkimalawintonkija		MVL.1285, MVL.1287	
		Lethrinops macrochir 	(Regan, 1922)	melamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops macrophthalmus 	(Boulenger, 1908)	isosilmämalawintonkija		MVL.1285, MVL.1287	
		Lethrinops marginatus 	Ahl, 1926	raitamalawintonkija		MVL.1285, MVL.1287	
		Lethrinops microstoma	Trewavas, 1931	pilkkumalawintonkija		MVL.1285, MVL.1287	
		Lethrinops mylodon 	Eccles & Lewis, 1979	aavemalawintonkija		MVL.1285, MVL.1287	
		Lethrinops oculatus 	Trewavas, 1931	linssimalawintonkija		MVL.1285, MVL.1287	
	suku	Lichnochromis	Trewavas, 1935				
		Lichnochromis acuticeps 	Trewavas, 1935	lattakuonoahven		MVL.1285, MVL.1287	
	suku	Maylandia	Meyer & Foerster, 1984				
		Maylandia aurora 	(Burgess, 1976)	aurinkomalawinahven		MVL.1285, MVL.1287	
		Maylandia barlowi 	(McKaye & Stauffer, 1986)	hunajamalawinahven		MVL.1285, MVL.1287	
		Maylandia callainos 	(Stauffer & Hert, 1992)	kobolttimalawinahven		MVL.1285, MVL.1287	
		Maylandia chrysomallos 	(Stauffer, Bowers, Kellogg, & McKaye, 1997)	keltaleukamalawinahven		MVL.1285, MVL.1287	
		Maylandia emmiltos 	(Stauffer, Bowers, Kellogg, & McKaye, 1997)	punaevämalawinahven		MVL.1285, MVL.1287	
		Maylandia estherae 	(Konings, 1995)	oranssimalawinahven		MVL.1285, MVL.1287	
		Maylandia fainzilberi 	(Staeck, 1976)	kultaevämalawinahven		MVL.1285, MVL.1287	
		Maylandia flavicauda 	(Li, Konings, & Stauffer, 2016)	keltapyrstömalawinahven		MVL.1285, MVL.1287	
		Maylandia gallireyae 	(Miller, Konings & Stauffer 2021)	keltakotiloahven 	kotiloahven	MVL.1285, MVL.1287	
		Maylandia greshakei 	(Meyer & Foerster, 1984) 	ruoste-evämalawinahven		MVL.1285, MVL.1287	
		Maylandia hajomaylandi 	(Meyer & Schartl, 1984)	keltapäämalawinahven		MVL.1285, MVL.1287	
		Maylandia lanisticola	(Burgess, 1976) 	kotilomalawinahven		MVL.1285, MVL.1287	
		Maylandia lombardoi 	(Burgess, 1977)	keltamalawinahven		MVL.1285, MVL.1287	
		Maylandia ngarae 	(Miller, Konings & Stauffer 2021)	saumakotiloahven		MVL.1285, MVL.1287	
		Maylandia pulpican	(Tawil, 2002)	kiusamalawinahven		MVL.1285, MVL.1287	
		Maylandia pyrsonotos 	(Stauffer, Bowers, Kellogg, & McKaye, 1997)	liekkimalawinahven		MVL.1285, MVL.1287	
		Maylandia xanstomachus	 (Stauffer & Boltz, 1989)	keltakurkkumalawinahven		MVL.1285, MVL.1287	
		Maylandia zebra 	(Boulenger, 1899) 	seepramalawinahven		MVL.1285, MVL.1287	
	suku	Mchenga	Stauffer & Konings, 2006				
		Mchenga conophoros 	(Stauffer, LoVullo, & McKaye, 1993)	kartiopesäutaka		MVL.1285, MVL.1287	
		Mchenga cyclicos 	(Stauffer, LoVullo, & McKaye, 1993)	rengaspesäutaka		MVL.1285, MVL.1287	
		Mchenga eucinostomus 	(Regan, 1922)	sinimustautaka		MVL.1285, MVL.1287	
		Mchenga flavimanus 	(Iles, 1960)	keltaeväutaka		MVL.1285, MVL.1287	
		Mchenga thinos 	(Stauffer, LoVullo, & McKaye, 1993)	raitautaka		MVL.1285, MVL.1287	
	suku	Melanochromis	Trewavas, 1935				
		Melanochromis auratus 	(Boulenger, 1897)	kultamalawinahven		MVL.1285, MVL.1287	
		Melanochromis chipokae 	Johnson, 1975	mustemalawinahven		MVL.1285, MVL.1287	
		Melanochromis loriae syn. parallelus	Johnson, 1975 	safiirimalawinahven		MVL.1285, MVL.1287	
		Melanochromis melanopterus 	Trewavas, 1935	mustaevämalawinahven		MVL.1285, MVL.1287	
		Melanochromis simulans 	Eccles, 1973	valemalawinahven		MVL.1285, MVL.1287	
		Melanochromis vermivorus 	Trewavas, 1935	linjamalawinahven		MVL.1285, MVL.1287	
	suku	Mylochromis	Regan, 1920				
		Mylochromis anaphyrmus 	(Burgess & Axelrod, 1973)	kirjoviistoahven		MVL.1285, MVL.1287	
		Mylochromis epichorialis 	(Trewavas, 1935)	kobolttiviistoahven		MVL.1285, MVL.1287	
		Mylochromis ericotaenia	(Regan, 1922)	kalteriviistoahven		MVL.1285, MVL.1287	
		Mylochromis formosus 	(Trewavas, 1935)	hohtoviistoahven		MVL.1285, MVL.1287	
		Mylochromis incola	(Trewavas, 1935)	kultaviistoahven		MVL.1285, MVL.1287	
		Mylochromis labidodon	(Trewavas, 1935)	täpläviistoahven		MVL.1285, MVL.1287	
		Mylochromis lateristriga 	(Günther, 1864) 	safiiriviistoahven		MVL.1285, MVL.1287	
		Mylochromis melanotaenia	(Regan, 1922)	mustajuovaviistoahven		MVL.1285, MVL.1287	
		Mylochromis mola	(Trewavas, 1935)	siniviistoahven		MVL.1285, MVL.1287	
		Mylochromis semipalatus 	(Trewavas, 1935)	keltaviistoahven		MVL.1285, MVL.1287	
		Mylochromis sphaerodon	(Regan, 1922)	oranssieväviistoahven		MVL.1285, MVL.1287	
	suku	Naevochromis	Eccles & Trewavas, 1989				
		Naevochromis chrysogaster 	(Trewavas, 1935)	kultavatsamalawinahven		MVL.1285, MVL.1287	
	suku	Nimbochromis	Eccles & Trewavas, 1989				
		Nimbochromis fuscotaeniatus 	(Regan, 1922)	tummajuovamalawinhautoja		MVL.1285, MVL.1287	
		Nimbochromis linni 	(Burgess & Axelrod, 1974)	nokkasuuhautoja		MVL.1285, MVL.1287	
		Nimbochromis livingstonii 	(Günther, 1894) 	torkkusuuhautoja		MVL.1285, MVL.1287	
		Nimbochromis polystigma	(Regan, 1922)	täpläsuuhautoja		MVL.1285, MVL.1287	
		Nimbochromis venustus 	(Boulenger, 1908) 	riikinkukkohautoja		MVL.1285, MVL.1287	
	suku	Nyassachromis	Eccles & Trewavas, 1989				
		Nyassachromis boadzulu	(Iles, 1960)	teräspääutaka		MVL.1285, MVL.1287	
		Nyassachromis breviceps	(Regan, 1922) 	lyhytpääutaka		MVL.1285, MVL.1287	
		Nyassachromis leuciscus 	(Regan, 1922)	viherutaka		MVL.1285, MVL.1287	
		Nyassachromis microcephalus 	(Trewavas, 1935)	pikkupääutaka		MVL.1285, MVL.1287	
		Nyassachromis nigritaeniatus 	(Trewavas, 1935)	mustajuovautaka		MVL.1285, MVL.1287	
		Nyassachromis prostoma	(Trewavas, 1935)	keltaotsautaka		MVL.1285, MVL.1287	
		Nyassachromis purpurans 	(Trewavas, 1935)	purppurautaka		MVL.1285, MVL.1287	
	suku	Otopharynx	Regan, 1920				
		Otopharynx auromarginatus 	(Boulenger, 1908) 	kultasaumautaka		MVL.1285, MVL.1287	
		Otopharynx decorus 	(Trewavas, 1935)	koristeutaka		MVL.1285, MVL.1287	
		Otopharynx heterodon	(Trewavas, 1935) 	hammasutaka		MVL.1285, MVL.1287	
		Otopharynx lithobates 	Oliver, 1989	kivikkoutaka		MVL.1285, MVL.1287	
		Otopharynx ovatus 	(Trewavas, 1935)	munautaka		MVL.1285, MVL.1287	
		Otopharynx selenurus 	Regan, 1922	hiekkautaka		MVL.1285, MVL.1287	
		Otopharynx tetraspilus 	(Trewavas, 1935)	täpläselkäutaka		MVL.1285, MVL.1287	
		Otopharynx tetrastigma	(Günther, 1894)	laikku-utaka		MVL.1285, MVL.1287	
	suku	Petrotilapia	Trewavas, 1935				
		Petrotilapia genalutea	Marsh, 1983	okralevänraastaja		MVL.1285, MVL.1287	
		Petrotilapia tridentiger 	Trewavas, 1935 	kobolttilevänraastaja 	paksuhuuliahven	MVL.1285, MVL.1287	
		Petrotilapia xanthos 	Lundeba, Stauffer, & Konings, 2011	keltalevänraastaja		MVL.1285, MVL.1287	
	suku	Placidochromis	Eccles & Trewavas, 1989				
		Placidochromis electra 	(Burgess, 1979)	sähkömalawinahven		MVL.1285, MVL.1287	
		Placidochromis milomo	Oliver, 1989	pusumalawinahven		MVL.1285, MVL.1287	
		Placidochromis phenochilus 	(Trewavas, 1935)	mariinimalawinahven		MVL.1285, MVL.1287	
	suku	Protomelas	Eccles & Trewavas, 1989				
		Protomelas annectens 	(Regan, 1922)	välimalawinahven		MVL.1285, MVL.1287	
		Protomelas fenestratus 	(Trewavas, 1935)	ikkunamalawinahven		MVL.1285, MVL.1287	
		Protomelas ornatus 	(Regan, 1922)	korumalawinahven		MVL.1285, MVL.1287	
		Protomelas similis 	(Regan, 1922)	lasuurimalawinahven		MVL.1285, MVL.1287	
		Protomelas spilonotus 	(Trewavas, 1935)	täpläselkämalawinahven		MVL.1285, MVL.1287	
		Protomelas spilopterus 	(Trewavas, 1935)	turkoosimalawinahven		MVL.1285, MVL.1287	
		Protomelas taeniolatus 	(Trewavas, 1935)	värttinämalawinahven		MVL.1285, MVL.1287	
	suku	Pseudotropheus	Regan, 1922				
		Pseudotropheus brevis 	(Trewavas, 1935)	keltaposkimalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus crabro	(Ribbink & Lewis, 1982)	ampiaismalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus (Melanoch.) cyaneorhabdos 	(Bowers & Stauffer, 1997)	siniviivamalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus elegans 	Trewavas, 1935	hienomalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus fuscus 	Trewavas, 1935	tummamalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus interruptus 	(Johnson, 1975)	katkomalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus johannii 	Eccles, 1973	sinijuovamalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus livingstonii 	(Boulenger, 1899)	keltakylkimalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus perileucos 	(Bowers & Stauffer, 1997)	valkosaumamalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus perspicax 	(Trewavas, 1935)	teräsmalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus purpuratus 	Johnson, 1976	purppuramalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus tursiops 	Burgess & Axelrod, 1975	suippomalawinahven		MVL.1285, MVL.1287	
		Pseudotropheus williamsi 	(Günther, 1894)	ujomalawinahven		MVL.1285, MVL.1287	
	suku	Rhamphochromis	Regan, 1922				
		Rhamphochromis esox 	(Boulenger, 1908)	haukiahven		MVL.1285, MVL.1287	
		Rhamphochromis macrophthalmus 	Regan, 1922	isosilmähaukiahven		MVL.1285, MVL.1287	
	suku	Sciaenochromis	Eccles & Trewavas, 1989				
		Sciaenochromis ahli 	(Trewavas, 1935)	sähköhämyahven		MVL.1285, MVL.1287	
		Sciaenochromis fryeri 	Konings, 1993	sinihämyahven		MVL.1285, MVL.1287	
		Sciaenochromis psammophilus 	Konings, 1993	raitahämyahven		MVL.1285, MVL.1287	
	suku	Stigmatochromis	Eccles & Trewavas, 1989				
		Stigmatochromis pholidophorus 	(Trewavas, 1935)	kuonopetohautoja		MVL.1285, MVL.1287	
		Stigmatochromis woodi 	(Regan, 1922)	viherpetohautoja		MVL.1285, MVL.1287	
	suku	Trematocranus	Trewavas, 1935				
		Trematocranus placodon	(Regan, 1922)	hietakeisariahven		MVL.1285, MVL.1287	
		Tropheops macrophthalmus 	(Ahl, 1926)	isosilmämalawinahven		MVL.1285, MVL.1287	
		Tropheops microstoma	(Trewavas, 1935)	suppumalawinahven		MVL.1285, MVL.1287	
		Tropheops novemfasciatus 	(Regan, 1922)	viirumalawinahven		MVL.1285, MVL.1287	
		Tropheops tropheops 	(Regan, 1922)	raitamalawinahven		MVL.1285, MVL.1287	
	suku	Tyrannochromis	Eccles & Trewavas, 1989				
		Tyrannochromis macrostoma	(Regan, 1922)  	hirmuahven		MVL.1285, MVL.1287	
		Tyrannochromis nigriventer 	Eccles, 1989	juovahirmuahven		MVL.1285, MVL.1287	
							
	tribe	Bathybatini					
	suku	Bathybates	Boulenger, 1898				
		Bathybates fasciatus 	Boulenger, 1901	raitapetoahven		MVL.1285, MVL.1286	
		Bathybates ferox 	Boulenger, 1898	pilkkupetoahven		MVL.1285, MVL.1286	
		Bathybates graueri 	Steindachner, 1911	keltapetoahven		MVL.1285, MVL.1286	
		Bathybates hornii 	Steindachner, 1911	seeprapetoahven		MVL.1285, MVL.1286	
		Bathybates leo 	Poll, 1956	tummapetoahven		MVL.1285, MVL.1286	
		Bathybates minor 	Boulenger, 1906	pikkupetoahven		MVL.1285, MVL.1286	
		Bathybates vittatus 	Boulenger, 1914	juovapetoahven		MVL.1285, MVL.1286	
	suku	Hemibates	Regan, 1920				
		Hemibates koningsi 	Schedel & Schliewen, 2017	kulmapetoahven		MVL.1285, MVL.1286	
		Hemibates stenosoma	(Boulenger, 1901)	hohtopetoahven		MVL.1285, MVL.1286	
							
	tribe	Benthochromini					
	suku	Benthochromis	Poll, 1986				
		Benthochromis horii 	Takahashi, 2008	viirusulkahautoja		MVL.1285, MVL.1286	
		Benthochromis melanoides 	(Poll, 1984)	syväsulkahautoja		MVL.1285, MVL.1286	
		Benthochromis tricoti 	(Poll, 1948)	juovasulkahautoja		MVL.1285, MVL.1286	
							
	tribe	Boulengerochromini					
	suku	Boulengerochromis	Pellegrin, 1904				
		Boulengerochromis microlepis	(Boulenger, 1899)	jättikirjoahven		MVL.1285, MVL.1286	
							
	tribe	Cyphotilapiini					
	suku	Trematochromis	Poll, 1987				
		Trematochromis benthicola	(Matthes, 1962)	rubiinikampahautoja		MVL.1285, MVL.1286	
	suku	Shuja	Genner, Ngatunga & Turner, 2022				
		Shuja horei	(Günther, 1894)	pilkkukampahautoja		MVL.1285, MVL.1286	
	suku	Cyphotilapia	Regan, 1920				
		Cyphotilapia frontosa 	(Boulenger, 1906)	pahkakirjoahven		MVL.1285, MVL.1286	
		Cyphotilapia gibberosa 	Takahashi & Nakaya, 2003	sinipahka-ahven		MVL.1285, MVL.1286	
							
	tribe	Cyprichromini					
	suku	Cyprichromis	Scheuermann, 1977				
		Cyprichromis coloratus 	Takahashi & Hori, 2006	palettikilliahven		MVL.1285, MVL.1286	
		Cyprichromis leptosoma 	(Boulenger, 1898)	killiahven		MVL.1285, MVL.1286	
		Cyprichromis microlepidotus 	(Poll, 1956)	okrakilliahven		MVL.1285, MVL.1286	
		Cyprichromis pavo 	Büscher, 1994	safiirikilliahven		MVL.1285, MVL.1286	
		Cyprichromis zonatus 	Takahashi, Hori & Nakaya, 2002	satulakilliahven		MVL.1285, MVL.1286	
	suku	Paracyprichromis	Poll, 1986				
		Paracyprichromis brieni 	(Poll, 1981)	viirikilliahven		MVL.1285, MVL.1286	
		Paracyprichromis nigripinnis 	(Boulenger, 1901)	neonkilliahven		MVL.1285, MVL.1286	
							
	tribe	Ectodini					
	suku	Asprotilapia	Boulenger, 1901				
		Asprotilapia leptura	Boulenger, 1901	levähiekkahautoja		MVL.1285, MVL.1286	
	suku	Aulonocranus	Regan, 1920				
		Aulonocranus dewindti	(Boulenger, 1899)	sorasulkahautoja		MVL.1285, MVL.1286	
	suku	Callochromis	Regan, 1920				
		Callochromis macrops 	(Boulenger, 1898)	kuparihiekkahautoja		MVL.1285, MVL.1286	
		Callochromis melanostigma 	(Boulenger, 1906)	täplähiekkahautoja		MVL.1285, MVL.1286	
		Callochromis pleurospilus 	(Boulenger, 1906)	messinkihiekkahautoja		MVL.1285, MVL.1286	
	suku	Cardiopharynx	Poll, 1942				
		Cardiopharynx schoutedeni	Poll, 1942	sinievähiekkahautoja		MVL.1285, MVL.1286	
	suku	Cunningtonia	Boulenger, 1906				
		Cunningtonia longiventralis	Boulenger, 1906	huulisulkahautoja		MVL.1285, MVL.1286	
	suku	Cyatopharynx	Regan, 1920				
		Cyatopharynx foae	(Vaillant, 1899)	tummasulkahautoja		MVL.1285, MVL.1286	
		Cyathopharynx furcifer	(Boulenger, 1898)	metallisulkahautoja		MVL.1285, MVL.1286	
	suku	Ectodus	Boulenger, 1898				
		Ectodus descampsii	Boulenger, 1898	rengashiekkahautoja		MVL.1285, MVL.1286	
	suku	Enantiopus	Boulenger, 1906				
		Enantiopus melanogenys	(Boulenger, 1898)	kirjohiekkahautoja		MVL.1285, MVL.1286	
	suku	Grammatotria	Boulenger, 1899				
