TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
		Raja			Raja miraletus 	Linnaeus, 1758	peilirausku		
		Raja			Raja montagui 	Fowler, 1910	pisterausku		
		Raja			Raja polystigma 	Regan, 1923	silmärausku		speckled ray
		Raja			Raja radula 	Delaroche, 1809	karhorausku		
		Raja			Raja undulata 	Lacépède, 1802	aaltorausku		
		Rajella	Stehmann, 1970		Rajella bathyphila 	(Holt & Byrne, 1908)	syvännerausku		deep-water ray
		Rajella			Rajella bigelowi 	(Stehmann, 1978)	pilkkupyrstörausku		
		Rajella			Rajella fyllae 	(Lütken, 1887)	pyörörausku		
		Rajella			Rajella kukujevi 	(Dolganov, 1985)	valkoselkärausku		white deep-water skate
		Rostroraja	Hulley, 1972		Rostroraja alba 	(Lacépède, 1803)	pullonokkarausku		
MX.5086343	heimo 	Arhynchobatidae							
		Bathyraja	Ishiyama, 1958		Bathyraja pallida 	(Forster, 1967)	kalvaspehmorausku		pale ray
		Bathyraja			Bathyraja richardsoni 	(Garrick, 1961)	harmaapehmorausku		
		Bathyraja			Bathyraja spinicauda 	(Jensen, 1914)	piikkipyrstörausku		spinytail skate
MX.5086346	heimo	Zanobatidae							
		Zanobatus	Garman, 1913		Zanobatus schoenleinii 	(Müller & Henle, 1841)	seeprapannurausku		
MX.5086348	heimo 	Dasyatidae							
		Dasyatis	Rafinesque, 1810		Dasyatis centroura 	(Mitchill, 1815)	okakeihäsrausku		
		Dasyatis			Dasyatis marmorata 	(Steindachner, 1892)	marmorikeihäsrausku		marbled stingray
		Dasyatis			Dasyatis pastinaca 	(Linnaeus, 1758)	keihäsrausku		
		Dasyatis			Dasyatis tortonesei 	Capapé, 1975	keltakeihäsrausku		
		Himantura	Müller & Henle, 1837		Himantura uarnak 	(Bleeker, 1852)	leopardisiimarausku		
		Pteroplatytrygon	Fowler, 1910		Pteroplatytrygon violacea 	(Bonaparte, 1832)	ulappakeihäsrausku		
		Taeniura	Müller & Henle, 1837		Taeniura grabata 	(Geoffroy Saint–Hilaire, 1817)	pyörökeihäsrausku		
MX.5086351	heimo 	Gymnuridae							
		Gymnura	van Hasselt, 1823		Gymnura altavela 	(Linnaeus, 1758)	piikkiperhosrausku		
MX.5086355	heimo 	Myliobatidae							
		Myliobatis	Cuvier, 1816		Myliobatis aquila 	(Linnaeus, 1758)	kotkarausku		
		Aetomyleus	Garman, 1908		Aetomyleus bovinus 	(Geoffroy Saint–Hilaire, 1817)	juovakotkarausku		
