TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Megathyrsus maximus	(Jacq.) B.K.Simon & S.W.L.Jacobs		Megathyrsus	guineanisohirssi	guineanhirssi 			
	suku	Meiosperma	Raf.	MX.42334	Acanthaceae	suomutähkät				
		Meiosperma bracteatum	(Hochst.) I.Darbysh. & E.A.Tripp		Meiosperma	suvisuomutähkä				
		Meiosperma debile	(Forssk.) I.Darbysh. & E.A.Tripp		Meiosperma	arabiansuomutähkä				
	suku	Micrococca	Benth.	MX.38702	Euphorbiaceae	naapukit				
		Micrococca mercurialis	(L.) Benth.		Micrococca	ruohonaapukki				
		Microglossa densiflora	Hook.f.	MX.5009131	Microglossa	pursuripsusäde				
		Microglossa pyrrhopappa	(Sch.Bip. ex A.Rich.) Agnew	MX.5009131	Microglossa	keltaripsusäde				
		Micromeria imbricata	(Forssk.) C.Chr.	MX.5023396	Micromeria	arabiansirokki				
	suku	Mitracarpus	Zucc.	MX.39276	Rubiaceae	mitrakodat				
		Mitracarpus hirtus	(L.) DC.		Mitracarpus	rikkamitrakota				
		Momordica boivinii	Baill.	MX.5009136	Momordica	oranssikarvaskurkku				
		Momordica foetida	Schumach.	MX.5009136	Momordica	haisukarvaskurkku				
		Momordica friesiorum	(Harms) C.Jeffrey	MX.5009136	Momordica	keniankarvaskurkku				
	suku	Nidorella	Cass.	MX.39723	Asteraceae	hellesilmät				
		Nidorella elliotii	(S.Moore) Brenan		Nidorella	kenianhellesilmä				
		Nymphaea nouchali	Burm.f.	MX.37838	Nymphaea	tähtilumme				
		Ocimum kilimandscharicum	Gürke	MX.5009228	Ocimum	vuoribasilika				
	suku	Oldenlandia	L.	MX.39276	Rubiaceae	sakarakodat				
		Oldenlandia capensis	L.f.		Oldenlandia	afrikansakarakota				
		Oldenlandia corymbosa	L.		Oldenlandia	huiskilosakarakota				
		Oldenlandia herbacea	(L.) Roxb.		Oldenlandia	hentosakarakota				
		Oldenlandia rupicola	(Sond.) Kuntze		Oldenlandia	kalliosakarakota				
	suku	Oliverella	Tiegh.	MX.4971906	Loranthaceae	kutripiiput				
		Oliverella hildebrandtii	(Engl.) Tiegh.		Oliverella	keniankutripiippu				
		Orbea taitica	Bruyns	MX.5023067	Orbea	taitanritarintähti				
	suku	Orbivestus	H.Rob.	MX.39723	Asteraceae	viuhkolatvat				
		Orbivestus cinerascens	(Sch.Bip.) H.Rob.		Orbivestus	lusikkaviuhkolatva				
	suku	Oreosyce	Hook.f.	MX.38342	Cucurbitaceae	harjaskurkut				
		Oreosyce africana	Hook.f.		Oreosyce	harjaskurkku				
		Ornithogalum gracillimum	R.E.Fr.	MX.39981	Ornithogalum	keijutähdikki				
		Orobanche minor	Sm.	MX.41932	Orobanche	apilannäive				
	suku	Osteospermum	L.	MX.39723	Asteraceae					
		Osteospermum vaillantii	(Decne.) Norl.		Osteospermum	kultatähtisilmä				
	suku	Ouret	Adans.	MX.5081107	Amaranthaceae	villatähkät				
		Ouret lanata	(L.) Kuntze		Ouret	vihannesvillatähkä				
	suku	Oxygonum	Burch. ex Campd.	MX.38210	Polygonaceae	särmätattaret				
		Oxygonum sinuatum	(Hochst. & Steud. ex Meisn.) Dammer		Oxygonum	piikkisärmätatar				
		Oxygonum stuhlmannii	Dammer		Oxygonum	tansaniansärmätatar				
		Pavonia burchellii	(DC.) R.A.Dyer	MX.5009239	Pavonia	afrikanpavonia				
		Pelargonium quinquelobatum	Hochst. ex A.Rich.	MX.5023361	Pelargonium	etiopianpelargoni				
		Peperomia bangroana	C.DC.	MX.5009149	Peperomia	ropomuori				
		Peperomia blanda	(Jacq.) Kunth	MX.5009149	Peperomia	villamuori				
		Peperomia leptostachya	Hook. & Arn.	MX.5009149	Peperomia	sorjamuori				
	suku	Pergularia	L.	MX.41748	Apocynaceae	sarviköynnökset				
		Pergularia daemia	(Forssk.) Chiov.		Pergularia	rohtosarviköynnös				
	suku	Perotis	Aiton	MX.40431	Poaceae	sukasrassit				
		Perotis hildebrandtii	Mez		Perotis	sukasrassi				
		Persicaria capitata	(Buch.-Ham. ex D.Don) H.Gross	MX.38221	Persicaria	nuppitatar				
		Persicaria decipiens	(R.Br.) K.L.Wilson	MX.38221	Persicaria	salavatatar				
		Persicaria senegalensis	(Meisn.) Soják	MX.38221	Persicaria	puhvelintatar				
	suku	Phaulopsis	Willd.	MX.42334	Acanthaceae	paanutähkät				
		Phaulopsis imbricata	(Forssk.) Sweet		Phaulopsis	limipaanutähkä				
	suku	Phragmanthera	Tiegh.	MX.4971906	Loranthaceae	nuppipillit				
		Phragmanthera usuiensis	(Oliv.) M.G.Gilbert		Phragmanthera	liekkinuppipilli				
	suku	Phyllanthus	L.	MX.289477	Phyllanthaceae	laipikat				
		Phyllanthus leucanthus	Pax		Phyllanthus	valkolaipikka				
		Phyllanthus maderaspatensis	L.		Phyllanthus	jadelaipikka				
		Pilea usambarensis	Oliv.	MX.41947	Pilea	usambaranpiilea				
	suku	Platostoma	P.Beauv.	MX.39448	Lamiaceae	nappohuulet				
		Platostoma hildebrandtii	(Vatke) A.J.Paton & Hedge		Platostoma	keniannappohuuli				
	suku	Plicosepalus	Tiegh.	MX.4971906	Loranthaceae	holkkipillit				
		Plicosepalus sagittifolius	(Engl.) Danser		Plicosepalus	keltaholkkipilli				
		Polygala erioptera	DC.	MX.39160	Polygala	karvalinnunruoho				
		Polygala senensis	Klotzsch	MX.39160	Polygala	keltalinnunruoho				
		Polygala sphenoptera	Fresen.	MX.39160	Polygala	purppuralinnunruoho				
		Portulaca pilosa	L.	MX.38024	Portulaca	partaportulakka				
		Portulaca quadrifida	L.	MX.38024	Portulaca	nivelportulakka				
	suku	Pupalia	Juss.	MX.5081107	Amaranthaceae	koukkutähkät				
		Pupalia lappacea	(L.) Juss.		Pupalia	tarrikoukkutähkä				
	suku	Rawsonia	Harv. & Sond.	MX.4986470	Achariaceae	viiltopuut				
		Rawsonia lucida	Harv. & Sond.		Rawsonia	kiiltoviiltopuu				
	suku	Rhinacanthus	Nees	MX.42334	Acanthaceae	kyyhkyskukat				
		Rhinacanthus angulicaulis	I.Darbysh.		Rhinacanthus	keniankyyhkyskukka				
		Rhipidoglossum leedalii	(P.J.Cribb) Farminhão & Stévart	MX.5023486	Rhipidoglossum	ulugurunkuultokämmekkä				
	suku	Rhodopentas	Kårehed & B.Bremer	MX.39276	Rubiaceae	tulisakarat				
		Rhodopentas parvifolia	(Hiern) Kårehed & B.Bremer		Rhodopentas	suikotulisakara				
	suku	Richardia	L.	MX.39276	Rubiaceae	kehtokerät				
		Richardia brasiliensis	Gomes		Richardia	brasiliankehtokerä				
		Rumex abyssinicus	Jacq.	MX.38250	Rumex	afrikansuolaheinä				
	suku	Ruttya	Harv.	MX.42334	Acanthaceae	tohvelipensaat				
		Ruttya fruticosa	Lindau		Ruttya	leimutohvelipensas				
		Salvia leucantha	Cav.	MX.39530	Salvia	nuokkusalvia				
		Dracaena arborescens	(Cornu ex Gérôme & Labroy) Byng & Christenh.	MX.5009294	Dracaena	tikarianopinkieli				
		Dracaena ballyi	(L.E.Newton) Byng & Christenh.	MX.5009294	Dracaena	taitananopinkieli				
		Dracaena frequens	(Chahin.) Byng & Christenh.	MX.5009294	Dracaena	vuota-anopinkieli				
		Dracaena perrotii	(O.Warburg) Byng & Christenh.	MX.5009294	Dracaena	olduvainanopinkieli				
		Dracaena singularis	(N.E.Br.) Byng & Christenh.	MX.5009294	Dracaena	tornianopinkieli				
		Dracaena volkensii	(Gürke) Byng & Christenh.	MX.5009294	Dracaena	säiläanopinkieli				
	suku	Scleria	P.J.Bergius	MX.40242	Cyperaceae	koviot				
		Scleria racemosa	Poir.		Scleria	roimakovio				
		Senecio angulatus	L.f.	MX.39855	Senecio	kolkkavillakko				
		Senecio deltoideus	Less.	MX.39855	Senecio	nuoravillakko				
		Senecio tamoides	DC.	MX.39855	Senecio	kapinvillakko				
		Sida acuta	Burm.f.	MX.38688	Sida	sahasiida				
		Sida tenuicarpa	Vollesen	MX.38688	Sida	lanttosiida				
		Sigesbeckia orientalis	L.	MX.5082425	Sigesbeckia	aasiannnystytähti				
		Solanum anguivi	Lam.	MX.39547	Solanum	äikäkoiso				
		Solanum mauense	Bitter	MX.39547	Solanum	keniankoiso				
		Solanum tettense	Klotzsch	MX.39547	Solanum	korallikoiso				
		Sorghum bicolor subsp. verticilliflorum	(Steud.) de Wet ex Wiersema & J.Dahlb.	MX.41318	Sorghum bicolor	kiehkurakirjodurra				
		Sparrmannia ricinocarpa	(Eckl. & Zeyh.) Kuntze	MX.5023432	Sparrmannia	bantunkipinäsilmä				
		Spermacoce ocymoides	Burm.f.	MX.5009306	Spermacoce	intiankruunukota				
		Spermacoce princeae	(K.Schum.) Verdc.	MX.5009306	Spermacoce	sambiankruunukota				
		Sphaeranthus kirkii	Oliv. & Hiern	MX.5009173	Sphaeranthus	tansanianpallomykerö				
		Sphaeranthus suaveolens	(Forssk.) DC.	MX.5009173	Sphaeranthus	siipipallomykerö				
	suku	Stachytarpheta	Vahl	MX.41746	Verbenaceae	piiskayrtit				
		Stachytarpheta urticifolia	Sims		Stachytarpheta	nokkospiiskayrtti				
	suku	Steganotaenia	Hochst.	MX.39171	Apiaceae	oksaputket				
		Steganotaenia araliacea	Hochst.		Steganotaenia	puuoksaputki				
		Stellaria mannii	Hook.f.	MX.38046	Stellaria	pihtitähtimö				
		Sterculia rhynchocarpa	K.Schum.	MX.5023433	Sterculia	kynsisterkulia				
	suku	Stictocardia	Hallier f.	MX.39369	Convolvulaceae	herttaköynnökset				
		Stictocardia beraviensis	(Vatke) Hallier f.		Stictocardia	karmiiniherttaköynnös				
	suku	Talinum	Adans.	MX.4986560	Talinaceae	nuppikodat				
		Talinum afrum	(Thunb.) Eckl. & Zeyh.		Talinum	keltanuppikota				
		Talinum portulacifolium	(Forssk.) Asch. ex Schweinf.		Talinum	arabiannuppikota				
		Thunbergia holstii	Lindau	MX.5009310	Thunbergia	usambaransusanna				
	suku	Tinnea	Kotschy ex Hook.f.	MX.39448	Lamiaceae	huppuhuulet				
		Tinnea aethiopica	Kotschy ex Hook.f.		Tinnea	tummahuppuhuuli				
	suku	Tragia	Plum. ex L.	MX.38702	Euphorbiaceae	polttiot				
		Tragia brevipes	Pax		Tragia	kiertopolttio				
		Tragus berteronianus	Schult.	MX.42005	Tragus	tähkäkoukkuheinä				
	suku	Tribulus	L.	MX.4986430	Zygophyllaceae	okarennokit				
		Tribulus cistoides	L.		Tribulus	etelänokarennokki				
		Tribulus terrestris	L.		Tribulus	rikkaokarennokki				
		Tribulus zeyheri	Sond.		Tribulus	hapsiokarennokki				
	suku	Tridax	L.	MX.39723	Asteraceae	sauriot				
		Tridax procumbens	L.		Tridax	rikkasaurio				
	suku	Triumfetta	Plum. ex L.	MX.38687	Malvaceae	tarritertut				
		Triumfetta annua	L.		Triumfetta	vihannestarriterttu				
		Triumfetta rhomboidea	Jacq.		Triumfetta	kuitutarriterttu				
		Typha domingensis	Pers.	MX.40187	Typha	etelänosmankäämi				
	suku	Urochloa	P.Beauv.	MX.40431	Poaceae	häntähirssit				
		Urochloa arrecta	(Hack. ex T.Durand & Schinz) Morrone & Zuloaga		Urochloa	kapinhäntähirssi				
		Urochloa brizantha	(A.Rich.) R.D.Webster		Urochloa	tuhtihäntähirssi				
		Urochloa leersioides	(Hochst.) A.M.Torres & C.M.Morton		Urochloa	sinehäntähirssi				
		Vangueria madagascariensis	J.F.Gmel.	MX.5009191	Vangueria	tamarindinnapapallokki				
		Vernonia galamensis	(Cass.) Less.	MX.5009193	Vernonia	öljyvernonia				
		Vigna vexillata	(L.) A.Rich.	MX.42964	Vigna	juurespapu				
	suku	Waltheria	L.	MX.38687	Malvaceae	samettiot				
		Waltheria indica	L.		Waltheria	intiansamettio				
	suku	Zehneria	Endl.	MX.38342	Cucurbitaceae	hiirenkurkut				
		Zehneria scabra	(L.f.) Sond.		Zehneria	karhohiirenkurkku				
		Zehneria tuberifera	G.W.Hu & Q.F.Wang		Zehneria	taitanhiirenkurkku				
		Zephyranthes robusta	(Herb.) Baker	MX.5023037	Zephyranthes	rusoheinälilja				
	suku	Abronia	Juss.	MX.42932	Nyctaginaceae	verbeniot	hiekkaverbenat			
		Abronia latifolia	Eschsch.		Abronia	keltaverbenio	hiekkaverbena			
		Aconitum columbianum	Nutt.	MX.37866	Aconitum	musteukonhattu				
		Allium falcifolium	Hook. & Arn.	MX.39988	Allium	sirppilaukka				
		Angelica arguta	Nutt.	MX.39234	Angelica	silokarhunputki				
		Aralia californica	S.Watson	MX.41780	Aralia	kalifornianaralia				
		Arceuthobium campylopodum	Engelm.	MX.5094675	Arceuthobium	valkomännynmistelinen				
		Arceuthobium douglasii	Engelm.	MX.5094675	Arceuthobium	douglaskuusenmistelinen				
		Artemisia tridentata	Nutt.	MX.39834	Artemisia	salviamaruna				
		Asarum marmoratum	Piper	MX.37835	Asarum	marmoritaponlehti				
		Cakile edentula	(Bigelow) Hook.	MX.38508	Cakile	amerikanmerisinappi				
	suku	Calochortus	Pursh	MX.40007	Liliaceae	mariposaliljat				
		Calochortus elegans	Pursh		Calochortus	soreamariposalilja				
		Calochortus kennedyi	Porter		Calochortus	aavikkomariposalilja				
		Calochortus monophyllus	(Lindl.) Lem.		Calochortus	keltamariposalilja				
		Calochortus uniflorus	Hook. & Arn.		Calochortus	pastellimariposalilja				
		Calochortus venustus	Douglas ex Benth.		Calochortus	lumomariposalilja				
	variety	Calypso bulbosa var. occidentalis	(Holz.) Cockerell	MX.40083	Calypso bulbosa	lännenneidonkenkä				
	suku	Calyptridium	Nutt.	MX.289482	Montiaceae	tassukit				
		Calyptridium umbellatum	(Torr.) Greene		Calyptridium	sarjatassukki				
	suku	Chrysolepis	Hjelmq.	MX.37988	Fagaceae	kultakastanjat				
		Chrysolepis chrysophylla	(Douglas ex Hook.) Hjelmq.		Chrysolepis	puukultakastanja				
		Cornus nuttallii	Audubon ex Torr. & A.Gray	MX.39165	Cornus	oregoninkanukka				
		Cuscuta salina	Engelm.	MX.39381	Cuscuta	suolavieras				
	suku	Darlingtonia	Torr.	MX.4986578	Sarraceniaceae 	kalifoniantötteröt				
		Darlingtonia californica	Torr.		Darlingtonia	kaliforniantötterö				
		Erythranthe primuloides	(Benth.) G.L.Nesom & N.S.Fraga	MX.4972068	Erythranthe	esikkoapinankukka				
		Erythronium citrinum	S.Watson	MX.41856	Erythronium	sitruunakoiranhammas				
		Frangula purshiana	(DC.) A.Gray ex J.G.Cooper	MX.4972116	Frangula	rohtopaatsama				
		Fraxinus latifolia	Benth.	MX.39330	Fraxinus	oregoninsaarni				
	suku	Garrya	Douglas ex Lindl.	MX.4986587	Garryaceae	silkkinorkot				
		Garrya elliptica	Douglas ex Lindl.		Garrya	hopeasilkkinorkko				
		Gaultheria shallon	Pursh	MX.5023309	Gaultheria	isosalali				
		Grindelia stricta	DC.	MX.41870	Grindelia	rannikkorilpiö				
		Heracleum maximum	W.Bartram	MX.39247	Heracleum	amerikanukonputki				
	suku	Hosackia	Douglas ex Benth.	MX.38942	Fabaceae	maitiot				
		Hosackia gracilis	Benth.		Hosackia	kirjomaitio				
		Hypericum anagalloides	Cham. & Schltdl.	MX.38298	Hypericum	punkakuisma				
	suku	Jaumea	Pers.	MX.39723	Asteraceae	marskisilmät				
		Jaumea carnosa	(Less.) A.Gray		Jaumea	lännenmarskisilmä				
		Juncus bolanderi	Engelm.	MX.40195	Juncus	kuulavihvilä				
	suku	Marah	Kellogg	MX.38342	Cucurbitaceae	neulakurkut				
		Marah oregana	(Torr. & A.Gray) Howell		Marah	oregoninneulakurkku				
	suku	Mentzelia	Plum. ex L.	MX.4986564	Loasaceae	kultatupsut				
		Mentzelia laevicaulis	(Douglas ex Hook.) Torr. & A.Gray		Mentzelia	komeakultatupsu				
		Mertensia paniculata	(Aiton) G.Don	MX.41917	Mertensia	kellohalikka				
		Montia parvifolia	(Moc. ex DC.) Greene	MX.38028	Montia	ruusukehetekaali				
		Morella californica	(Cham.) Wilbur	MX.5009224	Morella	kaliforniannorkkomyrtti				Syn. Myrica californica
		Nuphar polysepala	Engelm.	MX.37844	Nuphar	lännenulpukka				
		Oenanthe sarmentosa	C.Presl ex DC.	MX.39206	Oenanthe	nutkanpahaputki				
		Parkinsonia florida	(Benth. ex A.Gray) S.Watson	MX.5023348	Parkinsonia	sinihuiskapapu				
		Parnassia fimbriata	K.D.Koenig	MX.38776	Parnassia	lännenvilukko				
	suku	Paxistima	Raf.	MX.41728	Celastraceae	kelasvarvut				
		Paxistima myrsinites	(Pursh) Raf.		Paxistima	pystykelasvarpu				
		Pedicularis racemosa	Douglas ex Benth.	MX.39655	Pedicularis	sirppikuusio				
	suku	Phoradendron	Nutt.	MX.4986531	Santalaceae 	misteliöt				
		Phoradendron juniperinum	Engelm. ex A.Gray		Phoradendron	katajanmisteliö				
		Platanthera elegans	Lindl.	MX.40048	Platanthera	kynttilälehdokki				
		Polygonum paronychia	Cham. & Schltdl.	MX.38213	Polygonum	dyynitatar				
	suku	Pseudotrillium	S.B.Farmer	MX.39999	Melanthiaceae 	pisamakolmilehdet				
		Pseudotrillium rivale	(S.Watson) S.B.Farmer		Pseudotrillium	pisamakolmilehti				Syn: Trillium rivale S.Watson
		Pyrola picta	Sm.	MX.38625	Pyrola	verkkotalvikki				
		Quercus chrysolepis	Liebm.	MX.37989	Quercus	kultatammi				
		Rudbeckia occidentalis	Nutt.	MX.39784	Rudbeckia	mustapäivänhattu				
		Salicornia virginica	L.	MX.38204	Salicornia	virginiansuolayrtti				
	suku	Sarcodes	Torr.	MX.38594	Ericaceae	tontunsoihdut				
		Sarcodes sanguinea	Torr.		Sarcodes	tontunsoihtu				
		Schoenoplectus pungens	(Vahl) Palla	MX.40248	Schoenoplectus	kuurnakaisla				
		Sedum oregonense	(S.Watson) M.E.Peck	MX.38740	Sedum	oregoninmaksaruoho				
		Sedum spathulifolium	Hook.	MX.38740	Sedum	lusikkamaksaruoho				
		Sedum stenopetalum	Pursh	MX.38740	Sedum	kalliovuortenmaksaruoho				
	suku	Smithiastrum	Morin	MX.39700	Campanulaceae	kaliforniankellot				
		Smithiastrum prenanthoides	(Durand) Morin		Smithiastrum	nauhakaliforniankello				
		Spergularia macrotheca	(Hornem. ex Cham. & Schltdl.) Heynh.	MX.38101	Spergularia	tahmasolmukki				
		Toxicodendron diversilobum	(Torr. & A.Gray) Greene	MX.42829	Toxicodendron	lännenmyrkkysumakki				
		Trifolium wormskioldii	Lehm.	MX.39036	Trifolium	liila-apila				
		Trillium ovatum	Pursh	MX.5023440	Trillium	lännenkolmilehti				
		Viola cuneata	S.Watson	MX.38310	Viola	silmäorvokki				
	suku	Xerophyllum	Michx.	MX.39999	Melanthiaceae	karhunliljat	karhunheinät			
		Xerophyllum tenax	(Pursh) Nutt.		Xerophyllum	lännenkarhunlilja	karhunheinä			
