TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Juniperus monosperma	(Engelm.) Sarg.	MX.37825	Juniperus	uudenmeksikonkataja				
		Juniperus occidentalis	Hook.	MX.37825	Juniperus	lännenkataja				
		Juniperus turbinata	Guss.	MX.37825	Juniperus	pyörrekataja				
	suku	Keteleeria	Carrière	MX.37803	Pinaceae	kynttiläkävyt				
		Keteleeria davidiana	(C.E.Bertrand) Beissn.		Keteleeria	papinkynttiläkäpy				
	suku	Lagarostrobos	Quinn	MX.4985902	Podocarpaceae	suomuhunnut				
		Lagarostrobos franklinii	(Hook.f.) Quinn		Lagarostrobos	suomuhuntu				
	suku	Lepidothamnus	Phil.	MX.4985902	Podocarpaceae	suomuoksat				
		Lepidothamnus fonkii	Phil.		Lepidothamnus	patagoniansuomuoksa				
		Lepidothamnus laxifolius	(Hook.f.) Quinn		Lepidothamnus	vuorisuomuoksa				
	suku	Libocedrus	Endl.	MX.37824	Cupressaceae	sarvisypressit				
		Libocedrus austrocaledonica	Brongn. & Gris		Libocedrus	kolmiosarvisypressi				
		Libocedrus chevalieri	J.Buchholz		Libocedrus	punossarvisypressi				
		Libocedrus plumosa	(D.Don) Druce		Libocedrus	sulkasarvisypressi				
		Libocedrus yateensis	Guillaumin		Libocedrus	nauhasarvisypressi				
	suku	Manoao	Molloy	MX.4985902	Podocarpaceae	nekkakävyt				
		Manoao colensoi	(Hook.) Molloy		Manoao	nekkakäpy				
	suku	Nageia	Gaertn.	MX.4985902	Podocarpaceae	nagipuut				
		Nageia nagi	(Thunb.) Kuntze		Nageia	idännagipuu				
	suku	Papuacedrus	H.L.Li	MX.37824	Cupressaceae	vitjasypressit				
		Papuacedrus papuana	(F.Muell.) H.L.Li		Papuacedrus	vitjasypressi				
	suku	Parasitaxus	de Laub.	MX.4985902	Podocarpaceae	podorit				
		Parasitaxus usta	(Vieill.) de Laub.		Parasitaxus	podori				
	suku	Pectinopitys	C. N. Page	MX.4985902	Podocarpaceae	kampaoksat				
		Pectinopitys ferruginea	(G.Benn. ex D.Don) C.N.Page		Pectinopitys	maorinkampaoksa				
	suku	Pherosphaera	W.Archer bis	MX.4985902	Podocarpaceae	hippukävyt				
		Pherosphaera hookeriana	W.Archer bis 		Pherosphaera	tasmanianhippukäpy				
	suku	Phyllocladus	Rich. ex Mirb.	MX.4985902	Podocarpaceae	lapakkapuut				
		Phyllocladus aspleniifolius	(Labill.) Hook.f.		Phyllocladus	tasmanianlapakkapuu				
		Phyllocladus toatoa	Molloy		Phyllocladus	sinelapakkapuu				
		Phyllocladus trichomanoides	D.Don		Phyllocladus	notkealapakkapuu				
	variety	Phyllocladus trichomanoides var. alpinus	(Hook.f.) Parl.		Phyllocladus trichomanoides	vuorinotkealapakkapuu				
		Picea breweriana	S.Watson	MX.37811	Picea	brewerinkuusi				
		Picea polita	(Siebold & Zucc.) Carrière	MX.37811	Picea	tiikerinhäntäkuusi				
		Picea smithiana	(Wall.) Boiss.	MX.37811	Picea	himalajankuusi				
